id,articleType
15970,Shirts
39386,Jeans
59263,Watches
21379,Track Pants
53759,Tshirts
1855,Tshirts
30805,Shirts
26960,Shirts
29114,Socks
30039,Watches
9204,Casual Shoes
48123,Belts
18653,Flip Flops
47957,Handbags
46885,Flip Flops
12369,Shirts
29928,Watches
42419,Tops
51832,Bra
47359,Handbags
17429,Watches
12967,Sandals
6842,Shoe Accessories
13089,Sweatshirts
18461,Deodorant
9036,Formal Shoes
48311,Bracelet
7990,Tshirts
56019,Lipstick
21977,Handbags
37812,Shirts
4729,Tshirts
56825,Shirts
39988,Casual Shoes
59051,Flats
20099,Kurtas
58183,Handbags
29742,Handbags
51658,Watches
3954,Tshirts
18839,Belts
2886,Flats
23278,Watches
28690,Kurtas
8580,Waistcoat
3168,Sports Shoes
18005,Shorts
17871,Briefs
9452,Shirts
38402,Belts
44984,Watches
10268,Formal Shoes
45856,Kurtas
32138,Briefs
59435,Formal Shoes
5891,Tshirts
38630,Tshirts
4943,Shirts
11188,Watches
10866,Tshirts
59607,Sarees
15528,Tshirts
45258,Watches
42841,Handbags
22198,Casual Shoes
29570,Casual Shoes
43993,Perfume and Body Mist
6628,Sports Shoes
54924,Shorts
26538,Casual Shoes
35913,Handbags
49495,Casual Shoes
9660,Shirts
2288,Tshirts
23876,Sweatshirts
18237,Tshirts
54118,Heels
2872,Heels
49653,Tops
8574,Sandals
16957,Sunglasses
19123,Flip Flops
13419,Tshirts
17885,Innerwear Vests
43369,Flip Flops
48781,Pendant
44970,Watches
56489,Nail Polish
39524,Laptop Bag
33822,Sports Shoes
58513,Tops
25947,Scarves
52029,Rain Jacket
5865,Tshirts
39716,Dresses
25349,Briefs
11940,Sandals
55802,Night suits
29584,Tshirts
43967,Perfume and Body Mist
28456,Skirts
34009,Tops
19311,Casual Shoes
42089,Sports Shoes
22950,Watches
49461,Casual Shoes
8746,Flip Flops
9694,Tshirts
23882,Sports Shoes
34835,Sports Shoes
15984,Shirts
41268,Wallets
11518,Heels
14856,Wallets
33648,Sandals
59297,Shirts
28032,Briefs
27846,Blazers
26994,Jeans
49839,Flip Flops
31923,Handbags
2618,Flats
54588,Kurtas
49005,Ring
8322,Tshirts
13841,Watches
28200,Sunglasses
12993,Sports Shoes
7158,Shirts
18495,Sandals
8110,Watches
19547,Sweatshirts
7964,Tshirts
36934,Perfume and Body Mist
39140,Kurta Sets
20851,Clutches
41866,Sandals
58177,Handbags
44528,Sandals
16392,Shirts
51455,Shrug
50587,Briefs
17240,Tshirts
47530,Flats
6617,Shirts
12732,Backpacks
3365,Tshirts
42042,Sports Shoes
23849,Casual Shoes
43190,Watches
48578,Bracelet
30462,Bra
18208,Caps
54127,Heels
10065,Tshirts
24250,Casual Shoes
32335,Watches
